,Date,Type,Confirmation Code,Start Date,Nights,Listing,Details,Reference,Currency,Amount,Paid Out,Host Fee,Cleaning Fee,Linens fee,Community fee,guest_name_sha256
159,02/09/2019,Reservation,HM9JM8NJA2,02/08/2019,7.0,"Red Victorian - Private room, The Conservatory",,,USD,54.21,,1.68,3.5,2.0,3.5,d89afdce0131a4b68dfaf80f3594cf9b08bd8aa5077bffbe03f94c19092c6852
160,02/08/2019,Adjustment,HM8K2FNHDC,02/03/2019,9.0,"Red Victorian - Private room w bath, Sunshine",,,USD,-148.47,,,,,,7202f72ce176b7cbfa1275311baec634cc58f605b9e2c40b81271d50683e73ba
161,02/08/2019,Reservation,HMAXB9HCZN,02/07/2019,3.0,"Red Victorian - Private suite w bath, Flower Child",,,USD,32.69,,1.01,3.5,2.0,3.5,e8a56f62a90be5a33e5143f9ad64a5362d1581bc9fc9cc10bd5992c6f65394c1
162,02/16/2019,Payout,,,,,Transfer to *****6485,,USD,,2325.44,,,,,
163,02/16/2019,Reservation,HMCJ53CBQF,02/15/2019,3.0,Red Victorian - Private room -  Rainbow Room,,,USD,233.96,,7.24,28.0,16.0,28.0,270c166697432bb6cea2538c441952e4df266ff1d45a113cdcef99694c979707
164,02/16/2019,Reservation,HM3JZPFWDC,02/15/2019,2.0,Red Victorian - Bunk #3 in shared Poster Room,,,USD,92.15,,2.85,15.0,20.0,15.0,4fee87de8032782f778d4183df7c1984887d775ba38b7be4d60430ad60dea4a9
165,02/16/2019,Reservation,HM9EW5STQ5,02/15/2019,3.0,"Red Victorian - Private room for 3, Friends Room",,,USD,408.37,,12.63,20.0,15.0,40.0,53a3cad7f32a3479cff0d42675ec792aec02d5c4be7a6b33a1236d6ca11f6033
166,02/16/2019,Reservation,HMJ43MRC9W,02/15/2019,3.0,"Red Victorian - Private room, Skylight",,,USD,285.57,,8.83,28.0,16.0,28.0,ee72abec42a4398dff03f9c116cc2a330a7dd6119d15189b0de4328ab2aba1d8
167,02/16/2019,Reservation,HMPFEC3H4R,02/15/2019,2.0,"Red Victorian - Private suite w/bath, Redwood",,,USD,202.97,,6.28,26.25,15.0,26.25,9bc3b5e7b79a6a8f1d17b456edb428236edd6596459862530b85b20030b7a424
168,02/16/2019,Reservation,HMQEFKS55X,02/15/2019,10.0,"Red Victorian - Private room w/sink, Tea Garden",,,USD,583.16,,18.04,28.0,16.0,28.0,a5c3ebc650ecaa1116ad5ff3f768a3005dc7ad785f31cab9e0b68d92399729fe
169,02/16/2019,Reservation,HMEQF45EFR,02/15/2019,3.0,"Red Victorian - Private room, The Conservatory",,,USD,284.6,,8.8,31.5,18.0,31.5,808e46da6cb39a5ac722feecac9a15edcdcaccc46db69bdd356b685ab37f5fb2
